Team Number,Auto Init Points,Auto Cells,Tele Cells,Control Panel,End Game Points
frc1138,11.428572,5.785714,11.642858,0.0,45.714287
frc114,11.5,5.9,14.7,0.0,34.75
frc115,13.75,8.15,21.05,0.5,44.5
frc1159,13.846154,4.769231,10.076923,0.7692308,43.46154
frc1388,12.692307,5.230769,10.538462,0.0,40.384617
frc1661,12.272727,2.3636363,7.818182,0.0,15.909091
frc1678,14.444445,11.444445,27.555555,3.3333333,44.166668
frc207,10.909091,3.090909,13.272727,0.0,24.545454
frc2102,13.666667,6.133333,16.066668,0.6666667,53.333332
frc2429,12.8125,4.6875,12.5625,0.0,52.1875
frc2465,12.142858,4.214286,10.285714,0.0,42.857143
frc2584,13.4375,6.0625,20.8125,1.25,43.75
frc2659,11.923077,6.769231,18.384615,1.5384616,40.0
frc299,11.923077,5.076923,11.0,0.0,48.846153
frc3257,10.909091,3.8181818,10.272727,0.0,26.363636
frc3309,12.692307,5.3076925,9.0,0.0,27.692308
frc3328,9.090909,3.6363637,9.727273,0.0,26.818182
frc3501,13.636364,5.4545455,20.727272,0.90909094,19.545454
frc359,13.076923,4.0,14.076923,0.7692308,30.0
frc3863,9.230769,4.3846154,13.846154,0.7692308,30.384615
frc4,13.823529,8.411765,19.882353,0.5882353,38.82353
frc4414,12.692307,7.4615383,22.23077,3.0769231,41.153847
frc4481,13.0,6.2,21.0,1.3333334,55.0
frc4711,13.181818,3.5454545,10.818182,0.0,29.545454
frc5012,9.090909,2.7272727,9.909091,0.0,25.454546
frc5089,12.916667,4.5,13.583333,0.8333333,38.333332
frc5285,10.454545,4.5454545,10.363636,0.0,20.90909
frc580,10.454545,2.5454545,9.818182,0.0,20.454546
frc5818,13.75,5.25,15.0,0.0,33.75
frc5869,12.272727,3.8181818,10.181818,0.0,21.818182
frc589,12.142858,3.4285715,7.785714,0.0,54.642857
frc6560,14.25,8.75,19.45,0.0,42.5
frc6814,13.666667,3.9333334,14.8,0.6666667,52.0
frc691,11.363636,4.3636365,13.090909,0.90909094,35.454544
frc6934,11.818182,4.181818,12.727273,0.90909094,40.454544
frc696,13.181818,5.181818,11.090909,0.0,29.545454
frc7137,9.090909,3.1818182,7.818182,0.0,22.272728
frc7415,11.363636,3.4545455,7.2727275,0.0,36.363636
frc8060,10.909091,3.3636363,9.727273,0.0,27.727272
frc8129,8.636364,1.4545455,6.0,0.0,24.09091
frc867,12.692307,4.1538463,13.384615,1.5384616,53.846153
frc973,13.333333,10.277778,32.0,3.3333333,51.666668
